Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
AEROSP	Professor	Female	The instructor treated students with respect.	4	3	8	12	49	117	12	189	4.601224992
AEROSP	Professor	Female	This course advanced my understanding of the subject matter.	4	5	9	10	85	92	2	201	4.36087963
AEROSP	Not a Professor	Female	All Questions	2	38	60	66	186	146	103	496	4.113704071
AEROSP	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	7	15	12	23	18	0	75	3.702272727
AEROSP	Not a Professor	Female	My interest in the subject has increased because of this course.	2	4	12	6	30	22	0	74	4.126984127
AEROSP	Not a Professor	Female	Overall, the instructor was an excellent teacher.	2	3	5	10	20	13	24	51	4.015625
AEROSP	Not a Professor	Female	Overall, this was an excellent course	2	13	10	15	23	14	0	75	3.538690476
AEROSP	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	5	6	8	19	12	25	50	4.066666667
AEROSP	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	2	5	10	16	12	30	45	4.157692308
AEROSP	Not a Professor	Female	The instructor treated students with respect.	2	1	0	1	20	29	24	51	4.668478261
AEROSP	Not a Professor	Female	This course advanced my understanding of the subject matter.	2	3	7	4	35	26	0	75	4.321759259
AUTO	All	Male	All Questions	3	1	10	37	166	220	54	434	4.477301088
AUTO	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	0	1	7	25	28	0	61	4.34375
AUTO	All	Male	My interest in the subject has increased because of this course.	3	1	3	4	17	36	0	61	4.652083333
AUTO	All	Male	Overall, the instructor was an excellent teacher.	3	0	1	7	23	17	13	48	3.972222222
AUTO	All	Male	Overall, this was an excellent course	3	0	3	4	29	25	0	61	4.295900178
AUTO	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	0	1	6	20	19	15	46	4.3
AUTO	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	0	0	6	14	26	15	46	4.610479798
AUTO	All	Male	The instructor treated students with respect.	3	0	0	2	15	33	11	50	4.740079365
AUTO	All	Male	This course advanced my understanding of the subject matter.	3	0	1	1	23	36	0	61	4.652083333
AUTO	Not a Professor	Male	All Questions	2	1	7	30	103	157	54	298	4.505634172
AUTO	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	0	1	4	17	22	0	44	4.421875
AUTO	Not a Professor	Male	My interest in the subject has increased because of this course.	2	1	2	3	12	26	0	44	4.653125
AUTO	Not a Professor	Male	Overall, the instructor was an excellent teacher.	2	0	0	7	12	12	13	31	3.867424242
AUTO	Not a Professor	Male	Overall, this was an excellent course	2	0	2	3	18	21	0	44	4.398395722
AUTO	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	1	4	10	14	15	29	4.375
AUTO	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	0	6	8	15	15	29	4.552083333
AUTO	Not a Professor	Male	The instructor treated students with respect.	2	0	0	2	10	21	11	33	4.714285714
AUTO	Not a Professor	Male	This course advanced my understanding of the subject matter.	2	0	1	1	16	26	0	44	4.653125
AUTO	All	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	All	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Professor	Male	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
AUTO	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
BIOMEDE	All	Male	All Questions	24	95	318	1022	3038	3760	1318	8233	4.320605618
BIOMEDE	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	24	24	51	210	444	472	0	1201	4.122096855
BIOMEDE	All	Male	My interest in the subject has increased because of this course.	24	28	112	226	452	387	0	1205	3.989950603
BIOMEDE	All	Male	Overall, the instructor was an excellent teacher.	24	2	23	93	306	432	326	856	4.389151613
BIOMEDE	All	Male	Overall, this was an excellent course	24	27	63	247	520	345	0	1202	3.950917823
BIOMEDE	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	24	5	25	83	298	442	333	853	4.4306311
BIOMEDE	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	24	2	12	51	273	503	349	841	4.579837399
BIOMEDE	All	Male	The instructor treated students with respect.	24	1	12	55	201	599	310	868	4.692325973
BIOMEDE	All	Male	This course advanced my understanding of the subject matter.	24	6	20	57	544	580	0	1207	4.446193192
BIOMEDE	Not a Professor	Male	All Questions	16	60	206	678	1962	2274	1268	5180	4.27919099
BIOMEDE	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	16	19	33	138	289	335	0	814	4.134938801
BIOMEDE	Not a Professor	Male	My interest in the subject has increased because of this course.	16	17	88	167	307	237	0	816	3.897242998
BIOMEDE	Not a Professor	Male	Overall, the instructor was an excellent teacher.	16	0	8	47	184	243	314	482	4.392259127
BIOMEDE	Not a Professor	Male	Overall, this was an excellent course	16	19	50	177	341	226	0	813	3.899415597
BIOMEDE	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	16	1	4	41	169	266	318	481	4.505739331
BIOMEDE	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	16	1	3	32	160	269	336	465	4.550525255
BIOMEDE	Not a Professor	Male	The instructor treated students with respect.	16	1	4	33	128	326	300	492	4.654063204
BIOMEDE	Not a Professor	Male	This course advanced my understanding of the subject matter.	16	2	16	43	384	372	0	817	4.403681499
BIOMEDE	All	Female	All Questions	13	107	294	710	2045	2288	769	5444	4.246657573
BIOMEDE	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	13	24	43	139	268	308	0	782	4.039619608
BIOMEDE	All	Female	My interest in the subject has increased because of this course.	13	31	92	178	291	189	0	781	3.761835774
BIOMEDE	All	Female	Overall, the instructor was an excellent teacher.	13	4	25	63	225	266	189	583	4.362305263
BIOMEDE	All	Female	Overall, this was an excellent course	13	31	73	166	298	214	0	782	3.821302181
BIOMEDE	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	13	9	20	51	216	288	188	584	4.423331933
BIOMEDE	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	13	2	11	32	198	320	210	563	4.592606588
BIOMEDE	All	Female	The instructor treated students with respect.	13	2	5	23	159	398	182	587	4.736325159
BIOMEDE	All	Female	This course advanced my understanding of the subject matter.	13	4	25	58	390	305	0	782	4.291371526
BIOMEDE	Not a Professor	Female	All Questions	8	51	137	377	1139	1245	756	2949	4.282769661
BIOMEDE	Professor	Male	All Questions	8	35	112	344	1076	1486	50	3053	4.403434872
BIOMEDE	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	8	12	23	77	158	198	0	468	4.085983371
BIOMEDE	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	8	5	18	72	155	137	0	387	4.096412962
BIOMEDE	Not a Professor	Female	My interest in the subject has increased because of this course.	8	17	51	102	175	122	0	467	3.789316824
BIOMEDE	Professor	Male	My interest in the subject has increased because of this course.	8	11	24	59	145	150	0	389	4.175365814
BIOMEDE	Not a Professor	Female	Overall, the instructor was an excellent teacher.	8	1	5	26	113	129	186	274	4.451623377
BIOMEDE	Professor	Male	Overall, the instructor was an excellent teacher.	8	2	15	46	122	189	12	374	4.382936586
BIOMEDE	Not a Professor	Female	Overall, this was an excellent course	8	16	39	93	180	140	0	468	3.849902622
BIOMEDE	Professor	Male	Overall, this was an excellent course	8	8	13	70	179	119	0	389	4.053922276
BIOMEDE	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	8	1	3	18	109	143	185	274	4.555034722
BIOMEDE	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	8	4	21	42	129	176	15	372	4.280414637
BIOMEDE	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	8	1	2	15	93	142	206	253	4.611528352
BIOMEDE	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	8	1	9	19	113	234	13	376	4.638461688
BIOMEDE	Not a Professor	Female	The instructor treated students with respect.	8	1	1	15	87	173	179	277	4.697827643
BIOMEDE	Professor	Male	The instructor treated students with respect.	8	0	8	22	73	273	10	376	4.768851512
BIOMEDE	Not a Professor	Female	This course advanced my understanding of the subject matter.	8	2	13	31	224	198	0	468	4.343511647
BIOMEDE	Professor	Male	This course advanced my understanding of the subject matter.	8	4	4	14	160	208	0	390	4.531216578
BIOMEDE	Professor	Female	All Questions	5	56	157	333	906	1043	13	2495	4.188878232
BIOMEDE	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	5	12	20	62	110	110	0	314	3.965437587
BIOMEDE	Professor	Female	My interest in the subject has increased because of this course.	5	14	41	76	116	67	0	314	3.717866094
BIOMEDE	Professor	Female	Overall, the instructor was an excellent teacher.	5	3	20	37	112	137	3	309	4.21939628
BIOMEDE	Professor	Female	Overall, this was an excellent course	5	15	34	73	118	74	0	314	3.775541475
BIOMEDE	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	5	8	17	33	107	145	3	310	4.21260747
BIOMEDE	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	5	1	9	17	105	178	4	310	4.562331766
BIOMEDE	Professor	Female	The instructor treated students with respect.	5	1	4	8	72	225	3	310	4.797921184
BIOMEDE	Professor	Female	This course advanced my understanding of the subject matter.	5	2	12	27	166	107	0	314	4.207947331
CEE	All	Male	All Questions	6	33	108	170	526	1011	3	1848	4.476416652
CEE	Professor	Male	All Questions	6	33	108	170	526	1011	3	1848	4.476416652
CEE	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	6	3	17	25	73	112	0	230	4.279756589
CEE	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	6	3	17	25	73	112	0	230	4.279756589
CEE	All	Male	My interest in the subject has increased because of this course.	6	15	27	28	81	81	0	232	4.152514731
CEE	Professor	Male	My interest in the subject has increased because of this course.	6	15	27	28	81	81	0	232	4.152514731
CEE	All	Male	Overall, the instructor was an excellent teacher.	6	2	15	27	60	127	1	231	4.43174264
CEE	Professor	Male	Overall, the instructor was an excellent teacher.	6	2	15	27	60	127	1	231	4.43174264
CEE	All	Male	Overall, this was an excellent course	6	4	22	40	78	87	0	231	4.138354701
CEE	Professor	Male	Overall, this was an excellent course	6	4	22	40	78	87	0	231	4.138354701
CEE	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	5	13	27	62	123	2	230	4.402055396
CEE	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	5	13	27	62	123	2	230	4.402055396
CEE	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	0	7	12	47	165	0	231	4.715484618
CEE	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	6	0	7	12	47	165	0	231	4.715484618
CEE	All	Male	The instructor treated students with respect.	6	1	1	3	29	197	0	231	4.895950965
CEE	Professor	Male	The instructor treated students with respect.	6	1	1	3	29	197	0	231	4.895950965
